Index,Text,Sentiment
3870,able play youtube alexa,Positive
62,able recognize indian accent really well drop function helpful call device talk person near device smart plug schedule work seamlessly con would sound kindloud but lack clarity mid frequency need tweeked optimum clarity rarely device doesnt respond call alexa,Positive
487,absolute smart device amazon connect external sub woofer sound amaze recons voice even close room like almost collection songs english hindi must quite moneys worth,Positive
3204,absolutely amaze new member family control home voice connect home anywhere world,Positive
1265,absolutely amaze previously sceptical invest money but arrive worth ityou absolutely buy wont regret cheer,Positive
53,absolutely cheat customer if buy amazon product definitely want buy amazon prime members also case if song want play absolutely need amazon prime membership otherwise can not play music app no google apps not work amazon alexa if anybody want amazon alexa go google home everything also free cost app,Positive
257,absolutely house hold item fair price intuitive speech recognition superb use hindi english sometimes hinglish also big thank amazon team even place draw room call alexa bedroom ears us play favourite songs flawlessly overall best fit must guess guests visit us purchase enjoy performance must buy,Positive
1258,absolutely mind blow device beautiful shape excellent work nice performance verry easy usebut problem no battery storage work pluggedotherwise amaze,Positive
3499,accept dutch language,Neutral
2578,accessibility limit amazon apps music appsexcellent use bluetooth speaker,Negative
2508,accha hain magar month baad issme pata ni kia hua chalta hi ni hain,Neutral
1916,accord work software no google spot not consider perfect sound good,Positive
2797,act family member,Neutral
169,actually earlier not recognise voice think device manufacture issue but one thing realise amazon far far better e commerce company currently present india mean put bad review consider unknowning fact language change device not aware get call ireland call centre ask issue trust guy really impress way amazon customer service representatives handle issue face issue regard voice recognition particular device request help customer care will amaze help later usagefrom amazon user bye bye flipkart,Positive
3597,actually pretty cool,Positive
1273,acutally gift old lady fully amaze enjoy alot wonderful item must buy every household,Positive
624,ad ability india not workinglets see gcompany need work,Positive
3838,add feature otherwise good,Positive
778,add youtube music hungama music amazon music dont songs specially nunur bape dome jore song not play alexa add youtube music will,Positive
2417,addictive,Neutral
478,ai improve things like google assistance like easy things google assistance nail but shop interlink amazon account useful,Positive
482,ai need improvement doent use google search doent recognise command quiet often animal sound need improvisation kid skills overall need updationvoice recognition n audio quality awesome pls update software,Positive
2609,ai not good play track alexa dont understand us properly voice recognition poor volume,Negative
1847,ai system need improvement poor performance come song selection especially old hindi classic songs,Negative
509,aint responsive voice command quality sound reproduction accoustics subpar say least,Positive
2619,alag alag se bolate rahte hain kabhi kam sunti,Neutral
3777,alex bluetooth not work,Neutral
2461,alexa,Neutral
2782,alexa,Neutral
3982,alexa,Neutral
1297,alexa absolutely foolish recognise ask simple language sound good mic good but know worst,Positive
1057,alexa absolutely wonder fast correct thr time witty really fascinate developers fit much humour plus voice always catch ones attention great device,Positive
3695,alexa act stupid,Negative
1213,alexa always better google homebut miss thingsmicro usb internal power,Positive
3815,alexa always super,Positive
2487,alexa amaze,Positive
3949,alexa amaze,Positive
1828,alexa amaze say alexaand go make life easier lot,Positive
3883,alexa amazingsound quality great,Positive
2024,alexa amazingwe love,Positive
3312,alexa app not available download connect,Negative
363,alexa app recognise device gen echo dot device frustating device properly configure play musics well but shutdown device need reconfigured,Neutral
3531,alexa awesome bcoz give quick response,Positive
3396,alexa awesome improvement but time cable conection not good,Positive
1867,alexa bad,Negative
433,alexa become family member even know sound quality ability integrate ones daily life home awesome info weather traffic snarl weve come depend bright new companion,Positive
2143,alexa become one family members really fun interactive go blindly,Negative
1623,alexa become part day night nice device google music play device love product,Positive
1662,alexa best,Positive
1392,alexa best product see long time recognise voice perfectly,Positive
2312,alexa best undoubtedly,Positive
3372,alexa best way transfer home smart home good sound quality hear senstivity great price,Positive
1420,alexa better google assistant,Positive
3201,alexa cable not receive pack,Neutral
0,alexa can not hear start play,Neutral
1046,alexa cant answer many thingsi dont find use except music player alarm,Positive
1864,alexa change life completely thankyou alexa,Positive
2575,alexa come indian languages like odia,Negative
3971,alexa cool give alexa,Positive
1451,alexa could not voice recognitionproduct not goodplease confirm replacement statusi m wait days no response u r side,Neutral
3139,alexa cute but not smart cant answer query but cute though,Positive
1372,alexa device defective not respond complete installation process but device not work connect,Neutral
1230,alexa device good but bulb not much use without wifibulb work mobile data,Positive
458,alexa device good wont say best sometimes doesnt recognize voice overall would say value money purchase offer get smart blub wipro free amazon sale,Positive
696,alexa device speaker remarkable function precisely error voice recognition sound device fabulous wont regret buy alexa device smart buy smart,Positive
128,alexa doesnt full feature struggle reminder reminder doesnt work doesnt remember play list doesnt store multiple play list face problem retrieve multiple playlist cldnt find multilanguage recognition featureskill eg tamil usual issue payondelivery courier show resistance pay delivery cash otherwise everything perfect quality delivery,Positive
2213,alexa doesnt respond correctly alwaysalso would love see youtube available,Positive
1356,alexa doesnt understand command limit music options not much use,Positive
118,alexa doesnt understand command properlyi ask play sainyoo nee play sainya vei ask play play languages radio station dont understandit not able recognise wipro bulbi feed alexa want return back if possible,Negative
1841,alexa dont understand indian regional languages,Neutral
1013,alexa dot good nice sound quality super bass super clierty but amazon service poor poor,Positive
1679,alexa dot mini like funny informative kind friendit available languagesbrilliant work amazon,Positive
505,alexa dumb compare google home think make mistake buy instead go ai assistant available market,Negative
1024,alexa dumb say something say something else play arjit singh songs will start songits irritatingi not enjoy please find solution intelligent,Positive
419,alexa echo dot super smart sophisticate technologyif fire tv best control tv voice recognize voice perfetly also play many game best kid also buy smart light control voice almost every question ask also ask say story play music much,Positive
254,alexa echo dot wipro smart bulb good combo offer get every one experience next generation intelligence alexa smart way control musiq sound light kid love ask many question alexa give answer,Positive
379,alexa echo not respond voice commandtill setup everything okbut not respond voice command,Neutral
520,alexa echo value money lo use ask sing nursery rhyme stories hit,Neutral
2035,alexa eco worth anyones buy try experience life,Positive
1195,alexa flagship product amazon good product provide use fully,Positive
2353,alexa generation echo amaze great soundjust songs vocabulary require but good,Positive
2336,alexa generation worth buyingexcellenteasy accesssound goodkids will enjoy talk alexa,Positive
353,alexa go eat brain chatty mode nonworking brief mode tell play song get enjoy state song title singer name source amazon music aaple musicor jio saavn pretty annoy if ask refund initiate,Negative
110,alexa good bollywood hollywood songs come tollywood regions languages telugu tamil alexa not respond properly infact unable recognize telugu musicalbams need improve recognize regional languages,Positive
1787,alexa good but not work hindi language but think dat not latest version alexa include hindi language kindly help kindly exchange if possible,Positive
2589,alexa good but sometime not command correctly,Positive
2135,alexa good entertain voice recognition awesome totally worth money,Positive
847,alexa good friend integration smooth good sound quality excellent one room enough easily installable,Positive
686,alexa good listen command things perfectly kid keep busy give star deduct star one con feltatleast give build nasty back work atleast hrs continuous power supply need,Positive
1869,alexa good listen news music sound also good recive sound far also good must buy things,Positive
2734,alexa good product home sound quality superb,Positive
1959,alexa good quailty,Positive
4066,alexa good sound,Positive
1932,alexa good sound quality good function good boys good material user thank amazon thank,Positive
2059,alexa good sound quality nice voice recognition,Positive
2403,alexa good thing will help us study good alexa will control full home want say alexa,Positive
50,alexa good understand indian accent cover hindienglish language job voice assistant term manage devices around try control denon avr alexa basic task pay song change volume but cant change music mode etc similarly control airtel internet tv set top box settop box swith not swith offso get work do upto certain extend but not completelythe biggest problem see echo devices not get information web though connect internet always every thing need skillideally go web find basic answer instead say dont knowif anyone want use play music one best smart speaker available market give price,Positive
346,alexa good understand query well conversation mode need train alexayou change call sign alexa but options available buy rs go buy another,Positive
743,alexa good value money fun use use india make sure u select english india language relate conversations media content,Positive
161,alexa great bedroom live room alexa work like magic also get light wifi enable wipro along alexa package work wonder usit understand hindi english also talk us alone lonelyyou also connect alexa mobile use bluetooth speaker true fact version plug time but apart great love true fan alexa,Positive
562,alexa grow child would like hold hand cuteq like alexaans sound quality glow lightbonus tip buy offer will beneficial,Positive
2580,alexa helpful advance but effect enjoy if devices connect songs not find library need update frequently,Positive
1435,alexa helpful play handsfree music joke remainder news update facts alexa skills add value product,Positive
1718,alexa helpful product switch off power search voice anything play music,Neutral
15,alexa horribly wrong dumbi make mistake not buy google mini speakeralexa no answersit stupid speakeri know u need enable skills thathowever still bad assistantfully disssatisfiedaudio quality good but one buy simple bluetooth speaker cost rather mess ur mind incapable ai speaker can not answer questionsused fireststick limit usage limit appswill still need remote anyway not much useful firesticki strongly suggest please buy google home mini insteadaudio may bite less but google assistant amaze,Negative
1594,alexa integration awesome configure home appliances itworth buy awesome sound quality,Positive
2937,alexa integration collect days but amount not credit amazon wallet please check reply,Neutral
2332,alexa integration good sound quality bluetooth connectivity also good,Positive
908,alexa integration great voice recognition perfect sound quality awesome hall but best felt small size room must buy starter amazon smart speaker,Positive
3997,alexa integration greatspeaker sound quality great bluetooth connectivity also good,Positive
1048,alexa integration greatvoice recognition bad choice respond late not much farthersound quality seem good good pitch stabilizationwouldve great if wireless,Positive
570,alexa integration still pain sometimes doesnt hear us speak need talk loud phone integration still bad take time mins,Negative
2330,alexa integration voice recognition sound quality,Positive
634,alexa integration weak n also sound quality weak,Negative
2155,alexa integration would one device bluetooth,Positive
4085,alexa integrationsound quality bluetooth connectivity besteven helpful sometimes,Positive
3449,alexa isnt connect bluetooth wifi connect but no internet available display please correct,Positive
1680,alexa isnt smart expect,Positive
1742,alexa itergrationvoice recognition sound quality good also look pretty,Positive
2193,alexa learn day day behave like grow baby,Neutral
3040,alexa love,Positive
1642,alexa love u,Positive
3271,alexa love u,Positive
2972,alexa much rat want star,Positive
154,alexa need real upgrade general echo dot gen poor voice recognition literally yell alexa listen crank volume change track anything whatsoever quite expectations since proudly fire stick even buy speaker buy mainly purpose favorite music could come handy still prefer play music tv speaker mean buy speaker if cant even play music without fuss overall big no highly disappoint,Positive
1299,alexa new friend lockdown hear good music prime account,Positive
1293,alexa no loyalty ever ask respond no voice recognition sound quality excellent mainly depend hungama songs,Positive
1485,alexa not able recognise voice time sound quality also puncture not decent experience,Positive
1503,alexa not able understand hindii try settings but product not instal hindi language software not communicate hindi,Negative
3381,alexa not able understand language easily bluetooth connectivity poor,Negative
3485,alexa not good,Negative
1583,alexa not great voice interactive service like google improve good chatbot love volume kid njoying,Positive
2640,alexa not helpful various command developers need upgrade skills command recognition,Neutral
1931,alexa not know everythingas say information topic coronait say sorry dont know thisjust link alexa google youtube,Negative
769,alexa not recognise voice respond instantly song go alexa deliver music newsseems problem device,Neutral
1430,alexa not respondingblue light show aroundcant even reset,Positive
3120,alexa not work months purchase stop work,Neutral
532,alexa not work respond command internet connection good stable suddenly happen days usage dont know please somebody help,Positive
3634,alexa not work tv,Neutral
857,alexa not workingno lead light workingalexa totaly stop need repair iti want service centre number,Positive
184,alexa ok nice speaker n mic but not recommend itamazon executive contact help step connect wipro garnet appreciate take concern customer use alexa thank amazon,Positive
1758,alexa one best product amazonyou try iti feel utmost satisfiction product,Positive
324,alexa one step get information whatever want voice recognition also good go sometimes confuse problem not wireless continously plug corner plus feature need upgradation eg maths calculation math calculations alexa couldnt overall satisfy product,Positive
2413,alexa opbut if want alexa buy black colouras colour tatti,Negative
665,alexa overall good smart speakerbut time difficulty process voice commandssound output good,Positive
322,alexa pair easily act nice bluetooth speaker sound awesome specially bass owe gen echo amd take word gen echo n time better last sound quality worthy successorspecial thank amazon quick replacement echo deviceonly thorn foot software sometimes fail search desire music,Positive
892,alexa play amazon prime songs not outside songs waste money,Negative
997,alexa play tollywood latest songsalexa turn light etc much morewonderful ai,Positive
1032,alexa poor quality adapter jaise tape lagi hui ha poor quality alexa speaker jaise old model de diya ha,Negative
399,alexa pretty much job sound quality good microphone good not best job but lacs lot knowledge depend upon wikipedia if not mention wikipedia wont answer if u ask u always give std reply bite irritatingit time blink orange color indicate wait command word arent use kind spy,Positive
931,alexa problem time doesnt respond instructionson initial day set keep make mistake not recognise voice didnt expect alexa,Neutral
1712,alexa product super amaze granny surprise experience unbelievable way understand alexa adapt,Positive
903,alexa program search quality not fast say not clever perticular old singers gazals singers devotional songs religions,Negative
601,alexa purchase oct today not connect not work within one year hope will get replace amazon,Neutral
461,alexa quit irritate understand comands but ok robot hope new update will make accurate buy sale value money product get alexa wipro bulb happy service also,Positive
1601,alexa quite comfortable,Positive
3075,alexa really dosent hear clearly understand exactly give reply misinterpretting things,Positive
1976,alexa really smart,Positive
1193,alexa recognition worstalex doesnt recognize play wrong,Negative
2513,alexa skills limit many available us not available india,Positive
2695,alexa smart,Positive
812,alexa speaker good but alexa android application not good alexa listen skill also not accurate,Positive
742,alexa still grow become better understand could get better if alexa cant understand device talk would better if stop say mean tv,Positive
1797,alexa stop work within one month replace no call,Neutral
1532,alexa super,Positive
2547,alexa super quality,Positive
1480,alexa sw better conversational upgrade cant link youtube mobil reason need one click equivalent skills,Positive
1918,alexa take much time try connect wifi bluetooth device,Positive
430,alexa u never ever feel alone interact alexa tons things like listen music news weather forecast many alexa hindi many good funny responses kind become routine talk alexa sound quality will say star sound quality amaze fill room easily,Positive
256,alexa unable identify songs place time get negative response unavailability request seem waste product melooking replacement device seem access limit resourcesound alexa need improvisation,Negative
3283,alexa upgrade time time,Neutral
2384,alexa useful schedule listen newsbut concern speaker low sound eg not hearable another,Positive
548,alexa user interface nice get information one voice command music options less interface youtube songs ganna app etc,Positive
202,alexa voice assistant will never understand command say dont ever buy reason promote amazon google home well look well perform task jeff bezos turd review applicable alexa devices,Neutral
1208,alexa voice awsm really feel awsm talk alexagrt purchase if wnybody want buy smart speaker go blindly choose grt one,Negative
1549,alexa voice not work,Neutral
597,alexa voice recognition pretty good well integrate devices sound quality also good easy use,Positive
